obsx,errx,obsy,erry,Type
-0.279840697,0.1,6.61,0.04,S
-0.425968732,0.015,6.46,0.09,E
-0.096910013,0.04,8.18,0.15,S
-0.289882635,0.094,7,0.3,S
0.01911629,0.05,8.23,0.205,E
0.01911629,0.05,7.64,0.04,S0
0.056333035,0.0155,8.24,0.2,S0
0.205339721,0.0685,9.17,0.06,S0
0.226599905,0.08,8.69,0.065,E
-0.057991947,0.04,7.15,0.3,E
-0.145693958,0.035,7.84,0.085,S
0.06069784,0.055,8.96,0.17,S0
-0.139661993,0.035,8.25,0.24,E
0.012837225,0.05,8.04,0.24,E
-0.145693958,0.035,7.04,0.21,S0
0.073351702,0.0375,8.4,0.07,S0
0.027349608,0.05,8.51,0.14,E
0.058805487,0.055,8.15,0.125,S0
-0.040958608,0.045,8.67,0.095,E
0.197280558,0.04,9.99,0.125,E
0.197280558,0.075,8.71,0.085,E
0.08278537,0.06,8.98,0.14,E
-0.044552789,0.036,8.74,0.1,S0
0.170261715,0.07,8.96,0.045,E
-0.078313525,0.04,7.84,0.08,S0
0.167021796,0.0145,9.26,0.15,E
-0.022276395,0.045,7.95,0.24,E
0.273001272,0.09,9.77,0.03,E
-0.255707017,0.025,7.15,0.12,E
0.101231387,0.0165,8.68,0.045,E
-0.091514981,0.04,7.92,0.12,E
0.079181246,0.06,8.72,0.435,S
0.051345499,0.016,8.6,0.065,E
0.284430734,0.095,9.63,0.1,E
-0.053056729,0.04,8.28,0.09,E
0.301897717,0.028,10.32,0.435,E
-0.124938737,0.035,7.71,0.16,E
0.206825876,0.08,9.13,0.065,E
0.072801149,0.017,8.84,0.07,E
0.068185862,0.055,8.69,0.14,E
0.077912703,0.0215,9.04,0.08,E
0.223236273,0.0475,9.56,0.16,E
-0.204467557,0.0165,7.11,0.19,S0
0.184833334,0.039,9.45,0.195,E
-0.474955193,0.015,7,0.3,S0
0.194236749,0.077,9.11,0.15,E
